id,"datetime",lat,lon,"train_number","next_station","delay","vehicle_type","vehicle_type_abbr","destination"
202666,"1537538389000",52.066666566069,4.3592254254234,"6867","Voorburg","PT0S","Sprinter","SPR","Gouda Goverwelle"
202668,"1537538391000",52.100906392551,5.0354992714862,"6160","Vleuten","PT0S","Sprinter","SPR","Woerden"
202679,"1537538388000",52.29364785346,5.0934382082685,"15860","Weesp","PT0S","Sprinter","SPR","Amsterdam Centraal"
202681,"1537538393000",51.4328716667,4.1182185,"2273","Rilland-Bath","PT0S","Intercity","IC","Amsterdam Centraal"
202682,"1537538393000",52.175454082288,5.3085922724548,"5560","Soest Zuid","PT0S","Sprinter","SPR","Utrecht Centraal"
202683,"1537538396000",52.172971899947,5.3102415023478,"5563","Soest","PT0S","Sprinter","SPR","Baarn"
202684,"1537538394000",51.4949001667,3.61764416667,"2275","Middelburg","PT0S","Intercity","IC","Amsterdam Centraal"
202687,"1537538397000",51.951845,4.55389333333,"2858","Rotterdam Alexander","PT0S","Intercity","IC","Rotterdam Centraal"
202689,"1537538397000",52.1349466667,6.16923833333,"3658","Zutphen","PT0S","Intercity","IC","Zwolle"
202690,"1537538395000",51.82878,4.60879,"2269","Haarlem","PT0S","Intercity","IC","Amsterdam Centraal"
202692,"1537538391000",51.946692114885,5.2269404039001,"6063","Culemborg","PT0S","Sprinter","SPR","Tiel"
202693,"1537538393000",52.541853103632,4.6645279310125,"4865","Castricum","PT0S","Sprinter","SPR","Hoorn"
202694,"1537538391000",52.389318361315,4.8211190143164,"3367","Amsterdam Sloterdijk","PT0S","Sprinter","SPR","Leiden Centraal"
202698,"1537538393000",52.3260681667,4.913588,"2454","Duivendrecht","PT0S","Intercity","IC","Lelystad Centrum"
202699,"1537538398000",51.849078,4.56092966667,"2254","Kapelle-Biezelinge","PT0S","Intercity","IC","Vlissingen"
202700,"1537538390000",52.2968918333,4.72815016667,"765","Schiphol Airport","PT0S","Intercity","IC","Groningen"
202701,"1537538392000",52.468653948846,4.8050956567558,"4069","Zaandijk Zaanse Schans","PT0S","Sprinter","SPR","Rotterdam Centraal"
202702,"1537538395000",52.067738540413,4.3181496464318,"5169","Den Haag Moerwijk","PT0S","Sprinter","SPR","Dordrecht"
202704,"1537538398000",51.958684,5.85158866667,"4467","Arnhem Zuid","PT0S","Sprinter","SPR","Dordrecht"
202706,"1537538395000",52.6531883333,5.08458166667,"3969","Hoorn Kersenboogerd","PT0S","Intercity","IC","Heerlen"
202707,"1537538397000",52.3790933333,4.90065166667,"1565","Amsterdam Centraal","PT0S","Intercity","IC","Deventer"
202708,"1537538391000",51.946835509047,5.2268318250848,"6062","Culemborg","PT0S","Sprinter","SPR","Woerden"
202713,"1537538389000",52.2574641667,6.1609885,"1664","Duivendrecht","PT0S","Intercity","IC","Schiphol Airport"
202714,"1537538390000",51.808314394296,5.2633376299403,"6962","Zaltbommel","PT0S","Sprinter","SPR","Den Haag Centraal"
202715,"1537538389000",51.19219,5.993935,"859","Roermond","PT0S","Intercity","IC","Maastricht"
202717,"1537538396000",52.791225,6.11638116667,"9059","Steenwijk","PT0S","Sprinter","SPR","Leeuwarden"
202718,"1537538391000",52.3139163333,6.72215783333,"1766","Amersfoort","PT0S","Intercity","IC","Den Haag Centraal"
202720,"1537538389000",52.653445,5.08520833333,"3956","Hoorn Kersenboogerd","PT0S","Intercity","IC","Enkhuizen"
202723,"1537538395000",52.352925137261,4.9483933979297,"14658","Amsterdam Muiderpoort","PT0S","Sprinter","SPR","Amsterdam Centraal"
202726,"1537538394000",52.333335391052,4.9629352812843,"5758","Diemen Zuid","PT0S","Sprinter","SPR","Hoofddorp"
202730,"1537538388000",51.7335966667,5.4307245,"3667","Dieren","PT0S","Intercity","IC","Roosendaal"
202732,"1537538389000",52.299983436587,5.6134868020566,"5662","Ermelo","PT5M","Sprinter","SPR","Utrecht Centraal"
202736,"1537538391000",51.923436805737,4.4054116780927,"5058","Den Haag HS","PT0S","Sprinter","SPR","Den Haag Centraal"
202742,"1537538392000",52.546144966208,4.6583597280314,"4856","Castricum","PT0S","Sprinter","SPR","Haarlem"
202744,"1537538397000",52.064204287522,5.3703854150771,"7360","Maarn","PT0S","Sprinter","SPR","Breukelen"
202745,"1537538398000",52.062906844261,5.1682736200088,"7463","Bunnik","PT0S","Sprinter","SPR","Veenendaal Centrum"
202749,"1537538391000",52.388802027255,4.8382663099373,"4767","Amsterdam Sloterdijk","PT0S","Sprinter","SPR","Utrecht Centraal"
