id,lon,lat,date
2,4.8352900000000005,52.386140000000005,1579969108
2,4.83522,52.38599,1579969113
2,4.83516,52.38589,1579969117
2,4.83535,52.38588,1579969120
2,4.83556,52.38588,1579969125
2,4.83779,52.38589,1579969170
2,4.83798,52.38589,1579969173
2,4.83798,52.385979999999996,1579969176
2,4.83796,52.38616,1579969182
2,4.83796,52.38643,1579969191
2,4.83796,52.38648,1579969193
2,4.83796,52.38649,1579969193
2,4.837969999999999,52.386540000000004,1579969195
2,4.838019999999999,52.38661,1579969197
2,4.838030000000001,52.38663,1579969198
2,4.83809,52.38665,1579969199
2,4.83818,52.38666,1579969201
2,4.83835,52.38667,1579969204
2,4.83847,52.38667,1579969207
2,4.83869,52.38667,1579969211
2,4.83875,52.38667,1579969212
2,4.83901,52.38667,1579969218
2,4.8391,52.38671,1579969220
2,4.83913,52.38675,1579969221
2,4.839169999999999,52.38681,1579969224
2,4.839230000000001,52.38693,1579969227
2,4.839230000000001,52.38698,1579969229
2,4.83924,52.387029999999996,1579969231
2,4.83887,52.3876,1579969251
2,4.83885,52.38776,1579969256
2,4.83884,52.38787,1579969260
2,4.83884,52.38787,1579969260
3,4.83447,52.357459999999996,1579968786
3,4.83448,52.35773,1579968790
3,4.83446,52.35817,1579968803
3,4.83446,52.35817,1579968803
3,4.83445,52.35837,1579968805
3,4.8344,52.3587,1579968810
3,4.834280000000001,52.35958,1579968822
3,4.8342,52.36011,1579968829
3,4.83415,52.36077,1579968838
3,4.83415,52.36107,1579968842
3,4.83402,52.36506,1579968897
3,4.83402,52.36506,1579968897
3,4.83399,52.36631,1579968911
3,4.83399,52.36667,1579968915
3,4.83404,52.36736,1579968923
3,4.83408,52.36775,1579968928
3,4.834169999999999,52.36835,1579968935
3,4.83442,52.36979,1579968952
3,4.8345199999999995,52.37027,1579968957
3,4.834569999999999,52.37057,1579968961
3,4.83467,52.37088,1579968965
3,4.83478,52.371179999999995,1579968968
3,4.83491,52.3715,1579968972
3,4.83511,52.371959999999994,1579968977
3,4.83531,52.37247,1579968985
3,4.83531,52.37247,1579968985
3,4.8357,52.37339,1579968996
3,4.83582,52.37383,1579969002
3,4.83594,52.37422,1579969007
3,4.83615,52.37478,1579969014
3,4.83634,52.375209999999996,1579969020
3,4.83664,52.37591,1579969029
3,4.836790000000001,52.3763,1579969034
3,4.83712,52.37708,1579969044
3,4.837330000000001,52.3776,1579969050
3,4.83751,52.377990000000004,1579969055
3,4.83761,52.378170000000004,1579969058
3,4.83778,52.378440000000005,1579969061
3,4.8379199999999996,52.37873,1579969065
3,4.8384599999999995,52.38001,1579969077
3,4.8384599999999995,52.38001,1579969077
3,4.83858,52.380359999999996,1579969080
3,4.8387,52.3808,1579969085
3,4.838830000000001,52.381159999999994,1579969089
3,4.83906,52.38172,1579969095
3,4.83925,52.38216,1579969099
3,4.8394699999999995,52.382709999999996,1579969105
3,4.8396,52.38308,1579969109
3,4.83967,52.383309999999994,1579969112
3,4.83973,52.383590000000005,1579969115
3,4.83974,52.38387,1579969118
3,4.83974,52.38413,1579969120
3,4.83969,52.38453,1579969125
3,4.83959,52.384840000000004,1579969128
3,4.83953,52.38508,1579969130
3,4.83935,52.38563,1579969136
3,4.839230000000001,52.38606,1579969141
3,4.83915,52.38644,1579969145
3,4.839090000000001,52.38681,1579969149
3,4.83903,52.38731,1579969154
3,4.83903,52.387859999999996,1579969160
3,4.8389999999999995,52.38933,1579969178
3,4.8389999999999995,52.38933,1579969178
3,4.83896,52.38974,1579969182
3,4.83895,52.39082,1579969193
3,4.83894,52.39108,1579969195
3,4.83897,52.39131,1579969197
3,4.8390699999999995,52.39172,1579969202
3,4.839169999999999,52.391940000000005,1579969204
3,4.83931,52.39224,1579969207
3,4.83954,52.39257,1579969211
3,4.83973,52.39277,1579969213
3,4.83995,52.39301,1579969216
3,4.84031,52.39331,1579969220
3,4.84059,52.39352,1579969222
3,4.84087,52.39369,1579969225
